company,idea,industry,subindustry,tags
Moxion Power Co.,Mobile Energy Storage Technology,Industrials,Industrials -> Energy,Energy Storage|Climate|Energy|Renewable Energy|Electric Vehicles
Mozart Data,The easiest way to set up a modern data stack,B2B,B2B -> Infrastructure,SaaS|B2B|Data Engineering
Mozper,A debit card and app designed for kids and parents in Latin America,Fintech,Fintech -> Banking and Exchange,Education|Fintech
MSPilot,Turn AI adoption into a recurring revenue line.,B2B,"B2B -> Engineering, Product and Design",Generative AI|B2B|No-code|Infrastructure|AI
Mudafy,The LatAm tech-enabled real estate broker to buy and sell houses.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Marketplace|Proptech
Muddy,The multiplayer browser that knows you,B2B,B2B -> Productivity,Productivity|Collaboration
Mudrex,India's largest crypto investing paltform,Fintech,Fintech -> Asset Management,Fintech|Crypto / Web3
Muffin Data,Modern analytics for CPG brands,B2B,B2B -> Analytics,
Mulligan,AI automation for insurance brokerages,B2B,B2B,Documents|Generative AI|Finance|Workflow Automation|Insurance
Multifactor,"Zero-trust authentication, authorization, and auditing for AI agents",B2B,B2B -> Security,
Multiplier,Agent harnesses for asset managers,B2B,B2B,Artificial Intelligence|Fintech|Productivity|Investing|Stocks
Multiply Labs,Robotic production capacity for the pharma manufacturing industry,Industrials,Industrials -> Manufacturing and Robotics,Robotics
Multis,Accounting & Treasury Management Software for Web3 Teams,Fintech,Fintech -> Banking and Exchange,Fintech|Crypto / Web3
Mundo AI,High Quality Multilingual Training Data for AI Models,B2B,B2B -> Infrastructure,Artificial Intelligence|Machine Learning|AI
Munify,The Cross-Border Neobank for the Middle East,Fintech,Fintech,Fintech|Consumer|B2B|Consumer Finance|Neobank
Munily,Access control management app for Latam ́s gated communities,B2B,B2B -> Security,Proptech
mutable.ai,Artificially Intelligent Corporations,B2B,B2B,Developer Tools|Productivity|AI
Mutiny,"Your AI agent for creating anything customer-facing, in minutes.",B2B,B2B -> Sales,Artificial Intelligence|SaaS|B2B
Mux,Video infrastructure for developers,B2B,B2B -> Infrastructure,Developer Tools|Video|API
Muzz,Where Single Muslims meet,Consumer,Consumer -> Social,Dating|Social Network
My NextDerma,Dermatology telehealth app for LatAm,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Telemedicine
Mylk Guys,Amazon for Vegans,Consumer,Consumer -> Food and Beverage,E-Commerce|Food & Beverage
MyPetrolPump,On demand fuel delivery service in India,B2B,B2B -> Supply Chain and Logistics,Logistics|India
Myria,A marketplace of luxury services for the ultra-wealthy,Consumer,Consumer,Marketplace|Consumer|Community
MySivi,MySivi - AI English Speaking Practice App,Education,Education,AI-Enhanced Learning|Education|eLearning|Consumer
Mystery.org,We help kids stay curious by creating better explanations.,Education,Education,Education|eLearning
Mystic,Low latency API to run and deploy ML models,B2B,B2B -> Infrastructure,AIOps|Artificial Intelligence|Developer Tools|Machine Learning
Mythia,Rewards card for gamers,Fintech,Fintech,Fintech|Gaming
Mytos,Robotic human cell manufacturing,Healthcare,Healthcare -> Industrial Bio,Hardware|IoT|Biotech|Automation|Biotechnology
MyVR,The open platform for the vacation rental industry.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,SaaS|Travel
Nabis,Nabis is the largest licensed cannabis wholesale platform.,B2B,B2B -> Supply Chain and Logistics,Fintech|Marketplace|B2B|Cannabis|Analytics
Nabla Bio,We use AI to design antibodies for intractable diseases,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery
Naborly,A credit bureau for the renting generation.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Artificial Intelligence|Fintech|Real Estate
NALA,Building Payments for the Next Billion.,Fintech,Fintech -> Banking and Exchange,Fintech|Payments
Namaste Business,Shopify for a mobile first world,B2B,B2B -> Retail,SaaS|E-commerce|Retail|SMB
Namecard.ai,AI-powered business matchmaking,B2B,B2B,Generative AI|SaaS|B2B|Sales
Names & Faces,"Technology to create fast, visual indexes of people and organizations.",B2B,B2B -> Human Resources,SaaS
Nango,A single API for all your integrations,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|Open Source|API
Nano Technologies,Payroll app to pay workers daily for retailers & manufacturers in SEA,Fintech,Fintech -> Credit and Lending,Fintech|SaaS
NanoCorp,Autonomous Companies Run by AI Working While You Sleep.,Consumer,Consumer,AI
Nanograb,Deliver genes to any cell with AI,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery|Nanomedicine|Biotech|Drug Delivery|Therapeutics
NanoNets,Automatic Data Extraction,B2B,B2B -> Productivity,Developer Tools|SaaS|B2B|AI
nao Labs,Open Source Analytics Agent,B2B,B2B -> Analytics,Analytics|Open Source|AI
Napkin Math,AI nutrition coach in your pocket,Consumer,Consumer,
Nara,Answer 70% of your support and sales questions. Instantly,B2B,B2B,Artificial Intelligence|Sales|Customer Service|Customer Support|AI Assistant
Narrative,AI agents for end-to-end testing,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence
Narrative,Video Intelligence for Sports,B2B,B2B -> Marketing,Sports Tech|B2B|Video|AI
Nasdisc,"A marketplace for vinyl, cassettes and cds",Consumer,Consumer,Art Trading Platforms|Marketplace|E-commerce
Nash,All in one finance platform for borderless businesses in Africa,Fintech,Fintech,Banking as a Service|FinOps|Fintech|B2B
Nash,Nash is the digital logistics infrastructure for commerce,B2B,B2B -> Supply Chain and Logistics,Marketplace|SaaS|B2B|Delivery|Logistics
Natero,Data-driven customer success platform for B2B SaaS.,B2B,B2B -> Operations,SaaS|B2B|Customer Success
NaturAll Club,Frozen beauty products.,Consumer,Consumer -> Food and Beverage,Consumer|Beauty
Nautilus,AI platform to grow and to optimize car washes,B2B,B2B -> Sales,
Navattic,Interactive product demos,B2B,B2B -> Marketing,SaaS|B2B|Sales|Marketing|Conversational AI
Navier AI,Agent-Driven Engineering,Industrials,Industrials -> Aviation and Space,Aerospace|AI|Automotive
Naytev,Naytev automates paid and organic social media management in one place,B2B,"B2B -> Engineering, Product and Design",SaaS|Social Media|Marketing
Naïve,Autonomous Company Infrastructure,B2B,B2B -> Infrastructure,Infrastructure|AI
nCompass Technologies,Optimize performance on GPUs - 10x faster,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Hardware|Open Source
Ndea,Building AGI that can innovate.,Industrials,Industrials,Artificial Intelligence|Deep Learning|Hard Tech|Remote Work|ML
NearWave,Helping physicians select the right therapy for breast cancer patients,Healthcare,Healthcare -> Medical Devices,Artificial Intelligence|Hard Tech|Hardware|SaaS|Medical Devices
Nebula Security,Autonomous AI defense system for cyber attack,B2B,B2B -> Security,B2B|Security|Cybersecurity|Enterprise|AI
Nectar,Manage energy cost & usage with AI for facility & sustainability teams,Industrials,Industrials -> Energy,
Necto,ISP starter kit,Consumer,Consumer -> Home and Personal,Telecommunications
Nectome,Building a way to preserve long-term memories.,Healthcare,Healthcare -> Therapeutics,Neurotechnology
Neodocs,Instant lab tests on your smartphone,Healthcare,Healthcare,Artificial Intelligence|Consumer Health Services|Medical Devices
Neosync,Neosync is an open-source anonymization and synthetic data platform.,B2B,B2B -> Infrastructure,Developer Tools|SaaS|B2B
Nephrogen,Curative genetic medicines for kidney diseases,Healthcare,Healthcare -> Therapeutics,Gene Therapy|CRISPR|Biotech
Neptune.io,A self-healing platform to enrich and fix server alerts automatically,B2B,B2B -> Infrastructure,AIOps|DevOps|Monitoring
Neptyne,The programmable spreadsheet.,B2B,B2B,Generative AI|Data Science|Data Visualization
Nessie,"A shared context layer for you, your team, and your agents.",Consumer,Consumer,
Nest Genomics,Software to launch and integrate genetics into clinical care,Healthcare,Healthcare -> Healthcare IT,SaaS|Health Tech|Digital Health|Genomics|Primary Care
Nestor,Skills-based talent management solutions for a dynamic workforce.,B2B,B2B -> Human Resources,SaaS|HR Tech
Nestybox,Enables Linux containers to act as super fast & efficient VMs,B2B,B2B -> Infrastructure,Developer Tools|DevSecOps
NetBeez,Network monitoring from the end-user perspective,B2B,B2B -> Infrastructure,
Netmaker,Automated WireGuard networks for distributed systems and Kubernetes,B2B,B2B -> Infrastructure,DevSecOps|Next-gen Network Security|Open Source|Kubernetes
Netomi,Self-Driving Customer Care,B2B,B2B -> Marketing,Deep Learning|Customer Service|AI
Netter,AI native Palantir for mid market.,B2B,B2B -> Analytics,
NetworkOcean,We build and operate underwater data centers.,Industrials,Industrials -> Climate,Artificial Intelligence|Hard Tech|Hardware|Cloud Computing|ClimateTech
Neuromorphic,Building robots to automate wetlabs,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Robotics|B2B|Biotech|AI
Neuron Industries,Industrial Controllers built for AI,Industrials,Industrials -> Manufacturing and Robotics,Robotic Process Automation|Manufacturing|Automation|Industrial
Neverland,The first online home garden and lawn marketplace,Consumer,Consumer -> Home and Personal,Marketplace|Gardening
New Incentives,Cash transfers that save lives.,Other,Unspecified,Nonprofit
NewCraft,Universal API for HR & Payroll,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B
Newfront,Modern insurance brokerage.,Fintech,Fintech -> Insurance,Fintech|Insurance
NewsBlur,NewsBlur is a personalized news reader,Consumer,Consumer -> Content,Consumer
NewsCatcher,Turning the web into a structured database of real world events.,B2B,B2B -> Analytics,Artificial Intelligence|SaaS|Enterprise|Big Data|Enterprise Software
Newton,AI-powered phone platform for dentists,B2B,B2B,
Nex,Claude Cowork for high volume GTM workflows,B2B,B2B -> Sales,AIOps|Workflow Automation|Sales
Nexa Labs,Implantable microchips and AI for cattle monitoring,Industrials,Industrials -> Agriculture,Livestock Health|Medical Devices|Agriculture|AI|Biotechnology
Nextera Robotics | DIDGE.ai,AI-native Robotics,Industrials,Industrials -> Manufacturing and Robotics,Autonomous Delivery|Deep Learning|Robotics|Construction|AI
Nextmv,A DecisionOps platform that accelerates optimization AI teams,B2B,"B2B -> Engineering, Product and Design",Logistics|Supply Chain|AI
NextPay,The digital bank for small businesses in the Philippines.,Fintech,Fintech -> Banking and Exchange,Banking as a Service|Fintech|B2B
Nextstore,Mobile optimized storefronts for Shopify,B2B,B2B -> Marketing,B2B|E-commerce
Nexu,Financing platform for LatAm car dealerships.,Fintech,Fintech -> Credit and Lending,Fintech|Marketplace
Nexus,Nexus offers a unified checking and investment account.,Fintech,Fintech -> Consumer Finance,Fintech|Neobank
Nexus,We help non-technical teams build AI agents without engineers,B2B,B2B,Artificial Intelligence|No-code|Enterprise Software
NFTScoring,The NFT exchange for traders,Consumer,Consumer,Trading|NFT|Cryptocurrency
ngrow.ai,Low-code SaaS for marketing in push notifications,B2B,B2B -> Marketing,SaaS
Nightingale,App for managing care of autistic students,Healthcare,Healthcare -> Healthcare IT,Education|Health Tech
Niles,Knowledge Assistant for Work.,B2B,B2B -> Productivity,Productivity|Enterprise
Nimbic AI,Automatically write and update internal docs with every code commit.,B2B,"B2B -> Engineering, Product and Design",SaaS|AI
Nimble,Data-driven teacher hiring,Education,Education,Education|Machine Learning|SaaS
NimbleRx,On-demand prescription delivery.,Healthcare,Healthcare -> Consumer Health and Wellness,SaaS
Nimbus,Nimbus reduces Datadog costs by more than 60% without Manual Effort,B2B,B2B -> Infrastructure,Artificial Intelligence|Infrastructure|Operations
Nimbus,Tesla for city dwellers,Industrials,Industrials -> Automotive,Mobility|Electric Vehicles
Nine Fives,"RF test equipment for next-gen spacecraft, drones, and cellphones",Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Aerospace|Telecommunications
Ninite,Simple third-party app patching and deployment for Windows.,B2B,B2B -> Infrastructure,DevOps
Nino Foods,Building India's fast food empire,Consumer,Consumer -> Food and Beverage,Ghost Kitchens|Delivery|E-commerce|Food & Beverage
Nira Energy,Software to find the best sites for renewables on the electrical grid,Industrials,Industrials -> Climate,Solar Power|Climate|Energy|Renewable Energy|ClimateTech
Nirva,The lifestyle medicine layer for clinicians.,Healthcare,Healthcare -> Healthcare Services,Digital Health|Healthcare|Health & Wellness
Nitrode,Frontier AI research to advance game development,B2B,B2B,Artificial Intelligence|Machine Learning|B2B|Data Engineering
Nixo,Make every FDE on your team capable of moving any account forward.,B2B,B2B,
No Cap,"AI startup investor, No Cap",Fintech,Fintech,Artificial Intelligence|Investing|Fundraising
No Lean Season,A bus ticket out of poverty,Other,Unspecified,Nonprofit
No Logo,Turn ideas into physical products,B2B,B2B -> Supply Chain and Logistics,Consumer|Manufacturing|E-commerce|Supply Chain|AI
Nobell Foods,Cheese and dairy products from plant-derived dairy proteins,Consumer,Consumer -> Food and Beverage,Sustainability|Climate|Food Tech|ClimateTech
Noble,Risk decisioning platform,B2B,B2B -> Finance and Accounting,Fintech|SaaS
NODI Energy,Distributed energy infrastructure unlocking grid power to data centers,Industrials,Industrials -> Energy,Energy Storage|Hard Tech|Hardware|Energy|Electronics
Nodus,Intelligent execution layer for AI workloads,B2B,B2B,Artificial Intelligence|Infrastructure
noHQ,International contractor and multi country payroll,B2B,B2B -> Human Resources,Fintech
Noloco,Flexible Business Apps for Modern Teams,B2B,"B2B -> Engineering, Product and Design",Developer Tools|SaaS|No-code
Nomba,Banking and payments for businesses in Africa,Fintech,Fintech -> Payments,Fintech
Nomi,Realtime Sales Copilot,B2B,B2B -> Sales,Sales|Sales Enablement|AI
Nomic Bio,Nomic is doing for proteins what Illumina has done for DNA,Healthcare,Healthcare -> Diagnostics,Nanotechnology
Nomod,The UAE's leading small business payments platform,Fintech,Fintech -> Payments,Fintech|Payments
Nonu,We deliver hair loss medicines for Indian men on a subscription basis.,Healthcare,Healthcare -> Consumer Health and Wellness,India
Noora Health,Training patients and their families with health skills,Healthcare,Healthcare,Consumer Health Services
Nophin,AI Deal Screening Analyst for Commercial Real Estate Acquisitions,Fintech,Fintech,Generative AI|SaaS|Real Estate|Proptech|AI Assistant
Nori,AI health coach in your pocket,Healthcare,Healthcare -> Consumer Health and Wellness,Artificial Intelligence|Consumer Health Services|Health Tech|Digital Health|Health & Wellness
Nori,American Humanoid which costs 3% of the competition,Industrials,Industrials -> Manufacturing and Robotics,Hard Tech|Hardware|Robotics
Normal,Testing and certifying the hardware of the future,Industrials,Industrials,Artificial Intelligence|Hardware|Manufacturing|Industrial
Norra,Automating equipment operations for nursing facilities,Healthcare,Healthcare,Artificial Intelligence|Hardware|Health Tech|Logistics|Healthcare
North,Wearable computing hardware: biosignal gesture recognition,Consumer,Consumer -> Virtual and Augmented Reality,Hardware|Biometrics
Northwind,Tele-dermatology for chronic skin conditions,Healthcare,Healthcare -> Healthcare Services,Consumer Health Services|Health Tech|Digital Health|Healthcare|Telemedicine
NOSO LABS,Build AI agents for field technicians to diagnose and sell 10x better,Industrials,Industrials,Artificial Intelligence
Notabene,The Notabene platform is the trust layer for global money movement.,B2B,B2B -> Security,Fintech|Crypto / Web3|Regtech
Notable Labs,Personalized drug discovery for blood cancer.,Healthcare,Healthcare -> Diagnostics,Biotech|Drug discovery|Oncology
Notebook Labs,"Decentralized, anonymous, and accountable identity on Web3.",B2B,B2B,DeFi|Crypto / Web3|Identity
Nototo,A workspace with a spatial interface,B2B,B2B -> Productivity,Productivity
Notte,Reliable Web Agents for Enterprise,B2B,B2B,Developer Tools|Automation|AI
Nourish,Telehealth dietitians covered by insurance,Healthcare,Healthcare,Consumer Health Services|Healthcare
Nova,Digital subscriptions that delight investors.,Fintech,Fintech,Fintech|SaaS|B2B
Nova Credit,Bridging a world of consumer-permissioned credit data,Fintech,Fintech -> Credit and Lending,Fintech|Data Science
Novaflow,The AI data analyst for biology labs,Healthcare,Healthcare,
Novel,Novel is your international business bank account,Fintech,Fintech -> Banking and Exchange,Fintech|SaaS
Novelcare,Empowering every doctor and every patient to participate in research,Healthcare,Healthcare -> Drug Discovery and Delivery,Artificial Intelligence|Health Tech|B2B|Healthcare|Enterprise Software
Novig,America's #1 Sports Trading App,Consumer,Consumer -> Gaming,Fintech|Marketplace|Sports Tech|Gaming
Novoflow,Computer-using agents for healthcare operations,Healthcare,Healthcare -> Healthcare Services,Health Tech
Nowadays,AI-native platform for corporate meetings and events,B2B,B2B -> Operations,Artificial Intelligence|B2B|Logistics|Marketing|AI
Nowports,The core engine of supply chain in LATAM,B2B,B2B -> Supply Chain and Logistics,
Nox Metals,Supplying America's Industrial Base,Industrials,Industrials -> Manufacturing and Robotics,Manufacturing
Noya,Radically reducing capital costs and build time for direct air capture,Industrials,Industrials -> Climate,Carbon Capture and Removal|Climate
Noya Software,Product design tool that lets everyone design like a designer,B2B,"B2B -> Engineering, Product and Design",
Nozomio,product lab. focused on personal ai and context.,Consumer,Consumer,Artificial Intelligence|Developer Tools|Consumer
nsave,Trusted $€£ accounts abroad for people from unstable economies.,Fintech,Fintech,Fintech|Neobank
Nuanced,the AI coding app for thinking.,Consumer,Consumer,Developer Tools|AI|AI Assistant
Nucleo,The first Agentic platform for Oncology,Healthcare,Healthcare,
NudgePad,Online IDE. We joined Microsoft in 2014.,B2B,"B2B -> Engineering, Product and Design",Developer Tools
Null Labs,End-to-end Simulation for Defense Autonomy,Industrials,Industrials -> Defense,Robotics|Aerospace
Nullstone,An easier way to deploy and manage cloud apps,B2B,B2B -> Infrastructure,Developer Tools|SaaS|B2B
Numen,Engineering a future without cancer deaths.,Healthcare,Healthcare -> Diagnostics,Machine Learning|Biotech|Healthcare|Diagnostics|AI
Numeral,The AI-native sales tax solution.,B2B,B2B -> Finance and Accounting,Fintech|SaaS|Finance|Compliance|E-commerce
"numericcal, inc.",Distributed AI for Industrial Process Monitoring and Optimization.,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Industrial
Numerion Labs,Artificial intelligence for drug discovery.,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery|Deep Learning|Biotech|Drug discovery|Oncology
Numero,Modern fundraising software for political campaigns and nonprofits.,Fintech,Fintech,Fintech|SaaS
Numida,Working capital for African micro businesses,Fintech,Fintech -> Credit and Lending,Fintech|Microinsurance
NuMind,Create custom NLP models,B2B,"B2B -> Engineering, Product and Design",AIOps|Artificial Intelligence|Machine Learning|NLP
Nuntius,Making Models Follow Rules.,B2B,B2B -> Infrastructure,Artificial Intelligence|Reinforcement Learning
Nuntius Therapeutics,Cell-specific genetic medicines,Healthcare,Healthcare -> Therapeutics,Gene Therapy|Nanomedicine
nunu.ai,Building the first multimodal agents to play and test games.,Consumer,Consumer -> Gaming,
NURX,"Medicine or testing kit, prescribed online and delivered to your door.",Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services
Nutrigene,Personalized liquid supplements based your health data,Consumer,Consumer -> Food and Beverage,Health Tech
Nuvocargo,Your AI partner for North America truckload freight,B2B,B2B -> Supply Chain and Logistics,Artificial Intelligence|Logistics
Nyckel,Classify Anything,B2B,"B2B -> Engineering, Product and Design",Machine Learning|API|AI
o11,The AI Data Warehouse For Financial Firms,B2B,B2B -> Finance and Accounting,SaaS|Finance|B2B|AI
Obento Health,CRM Co-Pilot for Medtech Sales,Healthcare,Healthcare -> Medical Devices,B2B|Medical Devices|Healthcare|CRM|AI
Obie,Moving Investment Property Insurance Forward,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Real Estate|Insurance
Observa,Catch accidental database exposures before the bad guys,B2B,B2B -> Security,Security
Observant AI,iPhone-based driver monitoring for commercial fleets.,B2B,B2B -> Operations,Autonomous Trucking|Hard Tech|Machine Learning|SaaS
Observe.AI,Contact center AI platform.,B2B,B2B -> Sales,SaaS|Customer Service|AI
Ochre Bio,RNA medicines for liver diseases,Healthcare,Healthcare -> Therapeutics,Biotech|Genomics
OctaPulse,CV and robotics to automate quality inspection in fish farms,Industrials,Industrials -> Climate,
OctaveWealth,The 401(k) that helps you grow,B2B,B2B -> Human Resources,Finance|Investing
OctiFi,Buy Now Pay Later for Southeast Asia,Fintech,Fintech -> Consumer Finance,Fintech
Octolane AI,Revenue Superintelligence,B2B,B2B -> Sales,
Octopart,Octopart is a search engine for electronic components,Industrials,Industrials -> Manufacturing and Robotics,Electronics
Oda,AI Agent for Home Design,B2B,B2B -> Marketing,Machine Learning|Computer Vision|E-commerce|AI Assistant
Oddpool,Institutional infrastructure for prediction markets,B2B,"B2B -> Engineering, Product and Design",
OddsView,The Bloomberg Terminal of Sports Betting,Consumer,Consumer,Sports Tech|Consumer
Odeko,Our operations software makes it easier to run--and grow--your cafe,B2B,B2B,B2B|Logistics
Odigos Technologies Inc.,Enterprise-Grade OpenTelemetry,B2B,B2B -> Infrastructure,
Odin,"Save, organize and showcase your mental dump",Consumer,Consumer -> Content,Consumer
Odo,Your email assistant because you deserve a better morning,B2B,B2B,SaaS|Productivity|Email|AI|AI Assistant
ODWEN,AirBnB for Small Warehouses,B2B,B2B -> Supply Chain and Logistics,Marketplace|Warehouse Management Tech|B2B
Odys Aviation,Vertical takeoff and landing aircraft for major airlines,Industrials,Industrials -> Aviation and Space,Hard Tech|Airplanes|Climate
Offbeast,We make plant-based steaks with an authentic texture,Consumer,Consumer -> Food and Beverage,Clean Meat|Cultured Meat|Climate|Food Tech
OffDeal,AI-native investment bank for small businesses,B2B,B2B,Artificial Intelligence|Fintech|B2B|SMB
Officely,Office management software for hybrid workspaces,B2B,B2B -> Office Management,SaaS|B2B
Offstream,Vanta for carbon compliance,B2B,B2B,
OfOne,AI-powered order taker for restaurant drive-thrus,B2B,B2B,Generative AI|Restaurant Tech
Ohm,Never jump start your car again.,Industrials,Industrials -> Climate,
Ohm,Ohm helps engineering teams accelerate hardware development & testing.,Industrials,Industrials,Artificial Intelligence|Hardware|Data Engineering|AI
Ohmic Biosciences,Genetically engineering plants for disease resistance.,Industrials,Industrials -> Agriculture,Synthetic Biology|Biotech|Climate|Agriculture|Genetic Engineering
Oico,B2B marketplace for construction material in Brazil.,B2B,B2B -> Operations,Marketplace|Construction|B2B
Okani,Preventive healthcare app for Latam.,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Primary Care
OkCredit,Simple and secure bookkeeping for Indian businesses.,Fintech,Fintech -> Payments,FinOps|Fintech|Payments|Finance|India|SMB
Oki,The digital home for your personal memories,B2B,"B2B -> Engineering, Product and Design",SaaS|B2B|Enterprise|AI
Okibi,Turns products into CLIs and agents into customers,B2B,B2B,Developer Tools|SaaS|AI
Oklo,"Emission free, always on power from advanced fission power plants.",Industrials,Industrials -> Energy,Small Modular Reactors|Climate
Okteto,Cloud Development Environments with one click,B2B,B2B -> Infrastructure,Developer Tools|SaaS|B2B|Open Source|Kubernetes
OlaClick,Restaurant Solution (E-commerce via WhatsApp + POS + CRM/Marketing),Consumer,Consumer -> Food and Beverage,SaaS|B2B|Food Tech
Olam Labs,Building multi-agent simulations for model evals and training.,B2B,B2B,Artificial Intelligence|Reinforcement Learning|Gaming|Data Engineering
Ole,Fashion shopping with delivery and return on demand,Consumer,Consumer,Delivery|E-Commerce|Fashion
Olio Labs,Combination therapeutics for the world's toughest diseases,Healthcare,Healthcare -> Drug Discovery and Delivery,
Ollama,Get up and running with large language models.,B2B,B2B -> Infrastructure,Artificial Intelligence|Developer Tools|Open Source
Olympian Motors,"Next-generation, modular electric vehicles",Industrials,Industrials -> Automotive,Consumer|Manufacturing|Climate|Transportation|Electric Vehicles
Oma Care,Get paid for taking care of your parents.,Healthcare,Healthcare -> Healthcare Services,
Omanta,A research lab for one,Healthcare,Healthcare,Digital Health|Healthcare|Health & Wellness|Oncology|AI
OMG Digital,Content discovery platform for Africa,Consumer,Consumer -> Content,
OMGPop,An independent flash game studio.,Consumer,Consumer -> Gaming,Gaming|Social
Omnara,The Open-Source Alternative to Claude Managed Agents,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|AI Assistant
Omni,"Fast, up-to-date answers for Sales & Support",B2B,B2B -> Productivity,Artificial Intelligence|B2B
omnidock,OS for global e-commerce expansion of brands & manufacturers,B2B,B2B -> Operations,
Omnistrate,Transform any software to multi-cloud SaaS in minutes not years,B2B,B2B,Developer Tools|SaaS|B2B|Cloud Computing|Infrastructure
Omoi (formerly Azuki),Japanese comic subscription service,Consumer,Consumer -> Content,Entertainment|Subscriptions
Onboard.io,Manage & automate customer onboarding and implementation,B2B,B2B -> Productivity,SaaS|B2B|Productivity|Customer Success|Collaboration
Oncobox,Finding the right cancer drug for each patient.,Healthcare,Healthcare -> Diagnostics,Drug discovery|Oncology
OnDeck AI,"Analyze any footage, without training a model",B2B,B2B -> Analytics,Machine Learning|SaaS|Computer Vision|B2B|Video
One Codex,Data platform for metagenomics and the microbiome.,Healthcare,Healthcare -> Healthcare IT,Biotech|Diagnostics|Genomics
One Robot,World models for robot evals and training.,Industrials,Industrials -> Manufacturing and Robotics,
Onebrief,Onebrief makes military headquarters run seamlessly,B2B,B2B,SaaS|GovTech|Defense
OneChronos,The Smart Market for Institutional Investors,Fintech,Fintech -> Banking and Exchange,Fintech|Marketplace|AI
OneCLI,"Give every employee a secured, sandboxed pro assistant agent",B2B,B2B -> Security,B2B|Security|Open Source|Infrastructure|AI
onederful,Dental Insurance API,Healthcare,Healthcare -> Healthcare IT,SaaS|Healthcare|Dental
OneFin,Shopify for Financial Services,Fintech,Fintech -> Credit and Lending,Fintech|SaaS|API
OneGraph,GraphQL API to connect all of the internet's APIs. Join us at Netlify!,B2B,"B2B -> Engineering, Product and Design",API|GraphQL
OneGrep,AI Agent for DevOps Workflow Automation,B2B,"B2B -> Engineering, Product and Design",Generative AI|B2B|DevOps|Conversational AI
OneKey,Find the most profitable sites to build EV charging station,Fintech,Fintech -> Consumer Finance,Energy Storage|Electric Vehicles
OneLocal,OneLocal is a CRM for local businesses.,B2B,B2B -> Retail,CRM
OneSchema,AI Agents for Data Operations,B2B,B2B -> Operations,Artificial Intelligence|SaaS|B2B|Workflow Automation|AI
OneShop,List on multiple resale marketplaces,Consumer,Consumer,SaaS|E-commerce
OneSignal,Engage customers through personalized omni-channel messaging,B2B,B2B -> Marketing,Developer Tools|SaaS|B2B|Messaging|Marketing
OneStopKitchen,AI-Driven Tech & Space Optimization to Scale Restaurants,Consumer,Consumer -> Food and Beverage,Ghost Kitchens|E-commerce|AI
OneText,Frictionless payments via SMS,Fintech,Fintech -> Payments,Fintech|Payments|Consumer|B2B|E-commerce
onetool,"App-Store for SaaS: one invoice, one user management, one login.",B2B,B2B -> Operations,SaaS|B2B
OneTriangle,"The cheapest, fastest lightweight inference.",B2B,B2B -> Infrastructure,Artificial Intelligence|Open Source|Infrastructure
Onfolk,Gusto for the UK,B2B,B2B -> Human Resources,SaaS|B2B|Payroll
Onlook,Cursor for Designers,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Developer Tools|Design|Design Tools
Onshore,AI for corporate tax,B2B,B2B -> Finance and Accounting,
Onsite Pro,Revolutionizing digital selling within HVAC,B2B,B2B,Construction|B2B|Climate
Ontop,Simplifying hiring and payments for the global workforce,B2B,B2B,Fintech|SaaS|B2B|HR Tech
Ontora,AI agents that interviews every employee to hand context to AI tools.,B2B,B2B -> Operations,Robotic Process Automation|Enterprise|AI
Ontra Mobility,Platform for cities to optimize transit,Other,Government,Artificial Intelligence|Civic Tech|GovTech|Climate|Transportation
Onward,Intelligent meeting automation for ambitious teams.,B2B,B2B -> Productivity,
Onyx,Open Source AI Chat,B2B,B2B -> Productivity,Open Source|NLP|Enterprise|Search|AI
Onyx Private,A modern and more accessible private bank for the new generation,Fintech,Fintech,Fintech
Ooak Data,We turn company data into training data,B2B,B2B,Artificial Intelligence|Reinforcement Learning
Oolu,Oolu is one of the fastest growing off-grid solar firms in West Africa,Industrials,Industrials -> Energy,Solar Power|Climate
Opalite Health,Helping Healthcare Providers Speak Any Language,Healthcare,Healthcare,
Opearlo,Opearlo produces voice apps for Amazon Alexa and Google Home.,Consumer,Consumer -> Content,AI Assistant
